,Unnamed: 0,reviews,aircraft,Type of Traveler,Seat Type,Route,Date,Recommend
211,211,another dreadful mediocre experience ba malaga time boarding bus remote stand aircon flight wifi erratic guests couldn’t order food drinks card payment system didn’t work gave ordering finally malaga held allowed leave plane bags come first case caused plane go unbalanced really it’s one excuse another ba days,A320,Solo Leisure,Economy Class,London Heathrow to Malaga,May-22,no
212,212,basel johannesburg via london cancelled connection flight confusing ui still shows cancelled booking bookings never sent confirmation email new flights cant checkin could checkin online via app customer service nonexistent busy line 45min still one help check,Null,Solo Leisure,Economy Class,Basel to Johannesburg via London,May-22,no
213,213,low standards club europe cabin divider aircraft privacy separate cabin would expected aircraft properly cleaned athens full rubbish bag left seat pocket inflight information flight maps long disappeared european routes shame staff attentive though tried best,A320,Couple Leisure,Business Class,Athens to London,May-22,no
214,214,flight affected recent problems ba quite impressed british airways premium economy product new boeing 787 overall premium economy turned premium clearly step economy towards business class also premium economy product came across much better boeing 787 old b747 even b777 seat comfortable nice leg room food service entertainment options good clearly worth extra money premium economy,Boeing 787,Solo Leisure,Premium Economy,London to Mexico City,Apr-22,yes
215,215,british airways continues decline customer service used love airline three poor experiences back back regarding customer service phone flight changes vouchers recent experience cost 3000 originally booked due bad rep advice multiple calls company even part executive club silver continue left hold ages last week spent 6 hours phone seeking support rate lost trust,Null,Business,Economy Class,Glasgow to New York,May-22,no
216,216,flight lax lhr paid pick seat flight back lax saw 116 come account next day i’m adding booking day flight website tells longer booked seat seat paid sold someone else spent hour trying find way contact customer service first told dm airline twitter find extremely inappropriate still reached anyway unable find another way contact twitter told looking agent help never ended responding left message unread 6 hours waiting twitter dm back ended able find chat line website talking agent chat line informed sold seat another customer would book new seat however unable tell seat many people row frustrating conversation able book original seat soon tried pull booking british airways app unable find would enter booking reference site would say success booking would show refreshed page continued try add booking app would thing every time say success never add booking i’m able find chat line dm company twitter support issues i’m extremely frustrated,Null,Solo Leisure,Economy Class,London Heathrow to Los Angeles,May-22,no
217,217,amazing flight comfortable premium economy seats upgraded leg rest new aircraft staff friendly professional food great beyond expectation,Boeing 777,Solo Leisure,Premium Economy,Dubai to Milan Malpensa via London,May-22,yes
218,218,booked flight london paid months advance upgrade seat isle side exit row front cabin legroom upon checkin expensive upgrade given away someone else left choose miserable middle seat near toilet spent entire afternoon calling customer service call went automated system simply hangs decides busy placed indefinite hold replete elevator music insincere guarantee call mattered greeted someone heavy accent low quality hard hear line 32 deaf sometimes would purposely hang said anything times would purposely hang stated plight managed persist hours end would hang purposely needing put hold speak supervisor end ba managed swindle hundreds dollars booked another airline principle,Null,Solo Leisure,Economy Class,Los Angeles to London,May-22,no
219,219,way home 3 week holiday uk 4 flights british airways 2 internal flights london edinburgh great due friendly staff complications however 2 long haul flights nightmare initial flight cape town heathrow full flight staff seemed overwhelmed ran certain food drinks economy right back got leftovers entertainment system also working board return flight heathrow cape town check process horrific booked expedia somehow return flight checked bag allowance didnt realise checked ended pay additional £85 bag told try manage booking app possible also spent 20 minutes hold trying get ba customer service number luck asked speak someone person terminal 5 told customer service desk main ba terminal overall took us 2 hours get checked speaking 6 different staff members none could help also discrepancy baggage allowance friend traveling allowed 26kg paying add bag told overweight allowed 23kg bag 24kg compared flown airlines never fly ba level service shocking compared would expect,Boeing 777,Solo Leisure,Economy Class,London to Cape Town,Apr-22,no
220,220,would like thank great service handicap family afraid trip flying alone layover london hours change terminals everything thanks great service trip amazing took great care made sure well throughout whole flight,Null,Solo Leisure,Economy Class,São Paulo to Milan via London,Apr-22,yes
221,221,connected madrid iberia wrote scathing review awful long haul business class service british airways short haul business class totally different class cabin 10 rows seats bc record staff met us door cheerful way sign highly professional way would continue look us throughout flight messaging cabin crew flight crew excellent food first class nothing much staff oh two members company offer different levels sift hard service thought must ingrained ethics company british airways keep good work would better proper business class seats like european competitors overall made feel proud brit,A321 Neo,Family Leisure,Business Class,Madrid to London Heathrow,Apr-22,yes
222,222,flew dubrovnik heathrow 24th april 2022 check fast cleared security 15 minute made way lounge basic essentials clean spacious boarding time came priority boarding first board welcomed cabin crew given wipes seated left less tme safety brief taxiing take airborne soon time drinks meal services choice 3 main meal options good served friendly crew captain kept us informed progress journey arrived heathrow slightly early overall pleasant trip flying british airways,A320,Couple Leisure,Business Class,Dubrovnik to London Heathrow,Apr-22,yes
223,223,always chosen make big deal poor service delays dirty aircraft packed lounges cabin crew etc experienced years lost patience airline paid almost £1k extra change return flight family get flight specific time ba cancelled placed us another flight almost 10 hours later option get available flights business class lounge lhr packed hardly space move aircraft filthy food wrapping papers seat floor seats uncomfortable food business class passengers included bread rolls passed basket poor level hygiene overcrowding delays cancellations makes worst airline endure,Null,Business,Business Class,London to Aberdeen,Apr-22,no
224,224,business lounge closed pisa airport probably beyond control british airways closed since january least british airways could done would issued customers paid service vouchers used airport complained ba compensation said would credit account 10000 avios points felt adequate compensation point felt ba handled situation prompt professional manner however seven weeks ago avios points added account called call centre multiple times one point put hold hour put right department phone answered told wrong department phone number read number calling scenario replayed probably twenty times clear ba intention resolving making customer go round circles give airline absolutely appalling way treats customers,A320,Solo Leisure,Business Class,Pisa to London Heathrow,Mar-22,no
225,225,good friday flight delayed 5hours std 1250 atd 1800 durban south africa johannesburg announcements made approached time frame given simply didnt know aircraft towed hanger johannesburg crew arrived late aircraft filthy shall never fly comair includes kulula ba absolutely shocking service,Boeing 737 800,Couple Leisure,Economy Class,Johannesburg to Durban,Apr-22,no
226,226,trip 4 flights included 4 flights delayed worst 2h15min also one flight cancelled rebooked 4h earlier flight loosing 4h short vacation explanation compensation given cancelled flights delays expected lot better earlier used ba good results really bad experience avoid using ba travels,A320,Couple Leisure,Economy Class,Gothenburg to Manchester via London,Apr-22,no
227,227,first time new club world suite excellent lots space privacy good seat doubt bettered good staff ever quibble food served ba needs roll quickly,Boeing 787,Solo Leisure,Business Class,Chicago to London,Mar-22,yes
228,228,incredible rude check staff british airways counter nice 16th april 2022 zero empathy towards struggling customer second situation happened arrived nice terminal 1 ba0262 13 april luggage make flight put details delivery luggage arrived nice airport day received email avia partner lost found british airways partner 1314pm informing us luggage arrived nice multiple emails back forth emphasis strongly expressing clothes shoes wear 3 short days monaco vital received luggage asap lady replied “if important don’t come pick airport send driver pick up” despite fact proper delivery address supplied beginning appalling experience,Null,Couple Leisure,Economy Class,Riyadh to Nice via London,Apr-22,no
229,229,booked business class flight qantas melbourne glasgow via london qantas fly heathrow british airways partner airline automatically booked ba heathrow glasgow booked flight october however 2 days due leave received email british airways advising flight heathrow glasgow cancelled help us email said however booked us another flight leaving london city airport 26 miles heathrow airport flight going edinburgh glasgow sure supposed get glasgow additionally economy business class even though booked business class originally booked one connecting flight british airways know travelled 22 hours australia mention email compensation change class additional travel costs getting another airport nothing possibly accepting flight given obviously never going work us contact details british airways also sent email good friday even eventually find contact number office closed never experienced terrible customer service airline ever flow guarantee never fly british airways,Null,Couple Leisure,Business Class,London to Glasgow,Apr-22,no
230,230,service good cabin crew kind boarding quick aircraft size seat comfortable economy a380 walls still expanding outwards first floor lot space food good airplane food bad thing ife screen quite outdated wasnt good quality however large selection movies tv shows,A380,Family Leisure,Economy Class,Glasgow to Washington via London,Apr-22,yes
231,231,total chaos departures immigration malaga airport boarding quick polite welcome cabin crew beverage cart take prompt followed lunch choice 3 entrees food best described wholesome meeting quality levels air france swiss lufthansa short haul business class meals menu still missing like many aspects experience ba cut lot covid reintroduced wouldnt mind european trips 2022 ba charging 3 times fare levels 2019 overall value money poor wifi work start finish flight crew said worked way captain contacted london get fixed return ba becoming shambolic blaming far much covid time took responsibility failings,A320neo,Business,Business Class,Malaga to London,Apr-22,no
232,232,shout help desk heathrow arrived late make flight lady 32 years exp great tough crowd deal kind helpful getting us place stay food eat flight home next day,Null,Couple Leisure,Economy Class,Nice to Dallas via London,Apr-22,yes
233,233,constantly amazed british airways continue get things wrong pretty much though covered bases last 15 years living uk watched decline great sadness flight paris exception flight late overcrowded managed disinterested staff sat tarmac full boarded one hour waited catering loaded front back left gobsmacked barely offer food service anyway small packet crisps even smaller bottle water 45 minute flight wondered thought good operational planning delay whole plane load passengers 6 people business class could speedily eat poor quality meal flight paris transpired 90 minutes late missed meeting flying paris attend never,Null,Solo Leisure,Economy Class,London to Paris,Mar-22,no
234,234,short haul flights best crew final leg giving excellent service hope chose flights carefully booked flights club world suits ying yang arrangement still offer last minute aircraft changed put ying yang really pensioned ages ago business class offer 4 across layout still squeezes 8 across take one long haul leisure trip year business class always lose points game take exception paid full non refundable basis allowed reserve seats points gained trip alone would allowed us bronze status given status trip useless us status would allowed us book seats 7 days prior departure still available rather 24 hours available long haul return flight unable book window seat boarding doors closed window seat still vacant asked could move told fa would check nothing happened takeoff passenger moved economy seat judging interaction would bet someone staff travel think disgraceful full fare paying passenger treated like takeoff 1930 hrs offered drinks service supper told could order drink would delivered tray meal done meal would cold time ate summary would ever fly ba half chance going another airline,A320 / Boeing 777,Couple Leisure,Business Class,Phoenix to Paris via London,Apr-22,no
235,235,comfortable new suite flight great service good food crew wonderful new seat great except shoulder strap uncomfortable entertainment great wifi annoying cutting needing constant reconnecting generally positive experience,Boeing 777-200,Business,Business Class,Phoenix to London Heathrow,Apr-22,yes
236,236,british airways terrible airline i’ve dealt caused family extreme stress disappointment tried week speak someone can’t make changes online hang every time call driven despair treatment customers can’t check online application sucks much you’re better trying code app it’ll probably work better every time try check taken page says can’t verify documents yet app website say you’re verified ready go upgrade pay upgrade says it’s guaranteed go check go airport online won’t work give different seat paid lower class offer nothing return hope never misfortune getting stuck flying british airways ever,Null,Couple Leisure,Economy Class,Santorini to Los Angeles via London,Apr-22,no
237,237,british airways terrible airline i’ve ever dealt caused family extreme stress disappointment tried week speak someone can’t make changes online hang every time call driven despair treatment customers choice cancel chance life time trip we’d booked 2 18 year old boys flying another airline would alone japan ba cancelled trip cannot rebook online trip booked avios companion vouchers,Null,Family Leisure,Business Class,London to Tokyo,Jun-22,no
238,238,ba getting real bashing forum thought id buck trend report virtually flawless experience short hop edi lcy ba8703 monday easy check decent lounge experience except amiable staff still forced serve behind barriers clean plane left time ridiculous amount legroom 2d bulkhead seat lots space 1a c reasonable cooked breakfast served attentive capable csm arrived 15 mins earlier scheduled whats like overall experience vast majority ba experiences last 25 years anyway thought would nice read positive review,Embraer,Solo Leisure,Business Class,Edinburgh to London City,Apr-22,yes
239,239,new club suites amazing let bed little firm pillow comfortable pillow ever used food ok better ba past understand put everything single tray ok cabin crew brilliant surprised dinner crew didn’t come round beverages even bottled water ba really great hard product would suspect soft product improve covid restrictions become less issue well done ba,Boeing 777-200ER,Solo Leisure,Business Class,Vancouver to London,Mar-22,yes
240,240,small plane busy route service good food ran lot options left good cabin crew ba actually really friendly,A319,Couple Leisure,Business Class,London to Venice,Mar-22,yes
241,241,ba continue charge premium disgusting service provided people shouldnt customer service tired dirty cramped aircraft 11 flights year one managed depart arrive destinations ontime including 3 business class tickets cancelled alternative economy offered still refunds 3 months flight late missed connection ba cancelled rest ticket leaving stranded us,A320,Business,Business Class,London to Barcelona,Apr-22,no
242,242,flew back ba0254 bridgetown heathrow old club class huge disappointment going new club class suites end awful yin yang seating cant come soon enough even tried pay bas extortionate prebooking rate seats none left choose even weeks ahead wife stuck middle 2 seats 4 13e f good job overnighter managed sleep bit climb neighbours often march film selection good particularly friendly fa insisted face masks must worn even though bas policy changed regarding flying back nonmask wearing destination ie london sort ba took 20 minutes late big tailwind made time relatively smooth flight dinner bad breakfast fairly dire wifes smoked salmon bagel dreadful usual ba good really good bad awful recommend hesitatingly come ba great pay lot premium seats,Boeing 777,Couple Leisure,Business Class,Barbados to Heathrow,Mar-22,yes
243,243,worst budget airline i’ve ever used far worse ryanair refuse fly even though they’re basically free ba charge 10x much budgets worst service spent hour checking outdated computers crashed left us sat plane 2 hours couldn’t connect internet left 50 luggage behind would refund everyone’s flights waited another 10 mins luggage trolleys arrive took three days return cost us £100s return i’ve sat nearly two hours there’s sign luggage don’t know company incompetent i’ll pursuing compensation free flights amex won’t using it’s worth going,Null,Business,Economy Class,Heathrow to Bologna,Apr-22,no
244,244,first actual flights fine staff 3 flights zrhlhr gvalhr lhrzrh first 2 economy absolutely fine chatty friendly credit company infrastructure however appalling zrhlhr impossible checkin online 2 staff checkin everyone 2 flights resulting mislabelled luggage hour delay sort gvalhr 25hrs late noone lhr tow aircraft gate lhrzrh 50mins late due slow gate staff even checkin online queue airport get actual boarding pass examples reason sort stressed ground staff impossible recommend airline onboard 1010 getting onboard 110,A320,Business,Business Class,Geneva to London,Apr-22,no
245,245,flown economy ba years shock hard uncomfortable seats small aged tv screens limited inflight entertainment food service appalling 13hr plus flight socks eye shades ear plug amenity pack antibacterial wipes offered wifi advertised available flight paid premium money budget airline akin easy jet ryanair jetstar last time travelling ba 18 years flying ba really need buck service become flagship service used,Null,Solo Leisure,Economy Class,London to Singapore,Apr-22,no
246,246,flew barbados 16 march ba 255 new club class suite huge improvement old yin yang club class unfortunately endured way back comfortable big tv screen high quality picture good headphones plenty nooks crannies storing small items private nice friendly fas called name pretty good drinks service good dinner served let poor best choice movies inflight entertainment system thank goodness latest james bond movie showing took landed time smooth flight one letdown usual extortionate fee charged prebooking seat come ba stop nickel diming spoils could really good business class product already pay quite bit privilege recommend usual caveats,Boeing 777,Couple Leisure,Business Class,London to Barbados,Mar-22,yes
247,247,poor flight cape town london chaos cape town airport passenger handling incredibly long queues get security passport control taking nearly two hours total arrived lounge somewhat frazzled happy find quiet area decent wine appropriate food choices break boarding flight boarding went well seated offered small half full glass champagne captain made announcement say aboard ahead schedule flight time would shorter scheduled unfortunately would mean arrival would early land due 600 lifting overnight jet ban heathrow would wait ground perhaps half hour big deal captain announced due issues heathrow could get compile necessary paperwork would delayed indefinite period delay uncertain duration one might hoped offering champagne beverage particularly business class forthcoming event take permitted quite soon crew distributed menus pa say changes main courses drinks order taken pre dinner drinks main course dinner choice wine dinner drinks nuts served circa 45 minutes take case small measure white wine bottom pleasant decent sized tumbler husband another half glass champagne dinner arrived single tray small measure red wine tumbler food looked bland unappetising tasted cheese two small pieces sitting greasy pool vinegary chutney top wine offered ask second glass provided individualised basis coffee served since hit mild turbulence flight 11 hours duration snacks beverages offered prior breakfast provided separately passenger showed signs awake breakfast slightly edible dinner coffee tea offered individual mug orange juice available request cabin crew largely absent cabin except meal services must said extremely pleasant suitably responsive requests individual items come british airways need better meet customer expectations compete airlines similar routes cost business class ticket passengers enjoying additional space seat comfort flatbed benefit economy ticket 25 price paid premium cabin time flying business class real treat longer case,Boeing 777,Couple Leisure,Business Class,Cape Town to London Heathrow,Mar-22,no
248,248,main complaint limited food served bland barely edible far worst we’ve ever experienced compared airlines used past staff friendly enough rarely seen meals snacks offered flight different every airline used past 14 hours flying breakfast offered tiny cold stale ham cheese roll small plain yoghurt couple oreos ever decide fly suggest bring food certainly return flight never use british airways,Null,Couple Leisure,Economy Class,Sydney to Heathrow,Mar-22,no
249,249,complete utter chaos heathrow yet surely ceo sean doyle must take responsibility step aside consistent continuous problems cause flights cancelled delayed queue first wing check 10am today 1 hour subsequent flight malaga 15 hrs late leaving gate updated delays 3 times strangely one person apologised said sorry ba seems think normal practice nowadays emerald oneworld wish alternative ba become intolerable flying 55 years since beaboac days,A320,Business,Business Class,London to Malaga,Mar-22,no
250,250,feb 25 2022 show airport 3 hours early flight dublin waited line 3 hours check luggage learn flight delayed another 3 hours connecting flight london trying go customs wouldnt let us boarding plane going happening 30 minutes told us wait customer service line well hour found could gone customs connecting flight london dublin delayed hour however time told information doors close next available flight dublin 227 late evening said forced stay night london talking british airways manager informed us ba would reimburse us hotel flight get dublin regardless airline clothes due losing bags excursions transportation due issue spend multiple days shopping clothes lost days booked explore country buy extra suitcase new clothes received went 4 days lost bags finally got home submitted claims like told within days declined asked contact talk somebody declined tried reach via social media get passiveaggressive messages refuse pay back new flight get dublin transportation airport london hotel london clothes buy lost bags 4 days extra luggage fee extra clothes buy customer support impossible get direct response,Null,Couple Leisure,Economy Class,Austin to London via Dublin,Mar-22,no
251,251,british airways process upgrading 777 fleet new club suite ba59 16yrsold packedlikesardines club world product lounge cpt also bursting seams food orders behind many passengers left time food arrived boarding surprised find menu amenity kit bottle water already placed storage drawer suspect another cynical timesaving initiative part ba frustratingly menu turned incorrect replacement dishes probably worst ever encountered business class airline drinks run cancelled without warning spurious basis passenger nut allergy hard avoid suspicions cabin crew economical truth apart rather turbulent ride flight otherwise uneventful arrival slightly ahead schedule baggage handling however atrociously slow,Boeing 777-200,Couple Leisure,Business Class,Cape Town to London,Mar-22,no
252,252,flew funchal madeira yesterday madeira covid restrictions entry yet ba asked us upload nhs vaccination passes could check online received ok hour later husband couldn’t check online arrive heathrow 2 hours departure stood long queue check 3 desks open queue approx 100 travellers several people went breaks disappeared one desk open queue barely moving went complain various ba staff said manager told people coming one blonde lady walked around ages shepherding travellers queue sitting desk another man later likewise making us wonder hadn’t simply worked desks beginning stood queue good hour almost running security queue thankfully moved quickly hurriedly bought sandwich walked departure gate stood bus plane whole experience extremely stressful took best part 2 hours time sit plane completely unnecessary able check online would happened husband’s vaccination pass fine required madeira think systems failure received email yesterday morning saying pass order even though i’d previously told could check online also unnecessary ba staffed desks properly queue would moved staff member told us ba laid lots staff lock begging return treated badly didn’t want flight fine time given bag crisps bottle water fine nothing praise worthy,Null,Couple Leisure,Economy Class,London Heathrow to Funchal,Mar-22,no
253,253,absolutely bad experience british airways two bookings past two years cancelled first one understand covid19 unexpected today got another surprise flight antalya may 2022 cancelled explanation given definitely book ever,Null,Couple Leisure,Economy Class,Gatwick to Antalya,Mar-22,no
254,254,flew ba lhraus 7879 outbound leg back a3501000 return leg seats comfortable staff service inbound leg disappointing safety briefing missed lhraus route lhraus boarding time flight flew time landed time auslhr boarding one hour late left hour late landed one hour late food quality legs fit human consumption wife ordered veg meal served cold legs flight entertainment outbound leg bad 23 screens working return leg worked fine due a3501000 brand new good quality sleep legs good check lhr flawless without incident check aus rotten queued number 4 line waited 1 hour staff check us clear staff quality austin poor passengers appear passenger locator forms ready verifly app ready vaccine detail ready looked business premium economy class legs paying business class premium economy appear worth baggage received fine aus lhr latter took ages return option another airline would fly ba,Boeing 787-9,Couple Leisure,Economy Class,London to Austin,Mar-22,no
255,255,food awful night early morning flight started offer terrible chicken wrap thing terrible went traditional breakfast disgusting sausage inedible hash browns rubbish ba,Null,Couple Leisure,Premium Economy,Dubai to Heathrow,Mar-22,no
256,256,really can’t believe audacity call first class check staff singapore abrupt unhelpful official ba lounge singapore closed they’re using cheap generic alternative anyone pay twenty pounds go suffice say pleasant onboard like middle bad comedy sketch believe two stewardess ever first class training ask slippers first drink took nearly hour arrive despite 8 passengers serve two poor woman sat next ordered wine came filled brim mean it’s first class student house party neither knowledge wines menu food awful steak dry cooked tough whichever catering manger signed canapé soggy mushroom top chunk polenta sacked immediately say cheese port nice however worst thing constant galley noise cart stowage immediately front seat 1k night appeared incapable shutting without slamming also seemed stored personal belongings bin immediately seat we’re well say seat well designed personally i’m happy club would never first,Boeing 787-900,Solo Leisure,First Class,Singapore to London,Mar-22,no
257,257,london dubai family 6 kids 10 6 years old savvy travelers many holidays excited ba first time disappointment became desperation eaten anything since dublin morning 7am time eat lhr thought well get something usually around 1 hour flight 35 hours take served food food fine nothing special issues beverage attention kids youd expect many airlines even kids book would good movies outdated already watched overall medium experience,A350,Family Leisure,Economy Class,Dublin to Dubai via London,Mar-22,no
258,258,one would think number crises ba incurs would emergency planning fine art last flew ba may 2017 yes weekend last one crisis swore never ended purchasing ticket aug 2018 bologna ba cancelled flight covid hit ended voucher fast forward feb 26th 2022 received message 530am 30mins lhr flight cancelled arrived airport everyone else wandering seeking answers staff either told go online bit difficult ba systems ring ba ha ha go home helpful live two hours lhr miracle app sprung life managed get one last 10 seats evening flight sat arrivals coffee shop soon ran seats 1200 midday us trying get airside use lounges one allowed departures two hours prior flight supposedly crowds pointed ba provided refreshments told put claim eventually got departures made security ba customer services note oxymoron consistent queue 20 people ba still cancellingrearranging flights passengers airside boarded flight 45mins late sat tarmac pilot told us delay trying reconcile luggage took given one small bottle water cereal bar fivehour flight purport topclass airline fact ryanair finesse staff fine miserable treated badly like remind best difficult situation well passengers aircraft cramped worn reluctant use egyptair flew home new aircraft good entertainment system provided hot meal snack price ba ticket earth ba justify prices management sacked ultimately blame ruination airline,Null,Couple Leisure,Economy Class,London Heathrow to Cairo,Feb-22,no
259,259,never use ba long haul flight experience flight lhrmle wasn’t bad apart screaming child return wasn’t good experience weren’t provided drink boarded forgotten happened times flight think crew premium economy young experienced leaving experienced ones businessfirst actually think ba care businessfirst customers cabins getting larger classes ran food choice 8 rows back cabin it’s large cabin ran wine straight food service food 7hrs apart couple biscuits one go get kitchen weren’t fed 15hrs landed 115hr flight soggy roll containing 2 slices cucumber 2 slices tomato ba don’t care anymore little people,Null,Couple Leisure,Premium Economy,Male to London,Mar-22,no
260,260,british airways getting worse worse flight 8 mins late luggage taking hours arrive communication whatsoever anyone cant reached phone answer delays emails app crashing times change aircraft without notice even pay seat staff say nothing,Null,Business,Economy Class,Copenhagen to London,Mar-22,no
261,261,paid 3 business class seats london new york got downgraded airport check overbooked business class couldn’t even provide compensation refund told call customer service submit form unbelievable unacceptable never,Null,Family Leisure,Premium Economy,New York to London,Mar-22,no
262,262,absolutely shambolic customer service lounges heathrow outdated service terrible waited hour chosen fooddrink order brought ended getting told board product average,A321-neo,Business,Business Class,London Heathrow to Sofia,Aug-21,no
263,263,flight back athens different airline delayed causing us miss first flight home understand required help due delayed flight different airline whats worse went ahead canceled tickets connecting flight would able make based another flight found causing us buy much expensive tickets home resulted us overnight layover buy hotel room top ridiculously expensive last minute tickets absolute worst customer service ever dealt never flying,Null,Family Leisure,Economy Class,Athens to Boston via London,Oct-21,no
264,264,flight took two hours late described shambles airport airbridge aircraft acceptable aircraft better outbound flight screen small serving 23rd cabin first choice vegetarian dish chicken dish economy cabin airline must know vegetarians order meal include choice also offer roll hamcheese breakfast 12 hour flight cost saving hot breakfast offered 90 minutes connecting flight due late arrival made staff aware whilst let others passengers flight first staff assist getting us flight struggle get connecting flight arriving glasgow got txt say bags make flight first time using ba premium likely last,Boeing 777,Solo Leisure,Premium Economy,Cape Town to Glasgow via London,Feb-22,yes
265,265,mistake booking made ba got email say contact us discuss took 30 contact attempts spanning 7 hours still resolved absolutely shambolic customer support ever experienced still waiting call back promised 2 weeks ago,Null,Business,Business Class,Bangalore to London,Mar-22,no
266,266,economy cabin surprisingly underpopulated flight 30 passengers business class threequarters full boarding therefore mercifully quick takeoff schedule sadly ba59 makes use old club world product seems like step back time experiencing new club suite ba4243 good points old club world drawer capable taking laptop comfortable seat flat embarrassment tiny poorly responsive screen almost beyond belief service perfunctory meal service conformed current overly cautious postcovid requirements everything served time mean meal done relatively speedily lacklustre experience contrast bas competitors smacks continued costcutting queues three toilets business class unacceptable times limited attention paid keeping clean arrival schedule covid paperwork processing meant hour able collect baggage,Boeing 777-200,Couple Leisure,Business Class,London to Cape Town,Mar-22,no
267,267,british airways continues go downhill flew business class experience like economy 20 years ago except glass champagne packed full 3x3 seats issue day even weren’t seat pitch width economy gone little pretend tables middle seat give illusion style food dreadful flight service unsophisticated ba used acceptable european business class don’t european airlines offer much better flight experience business class comparison ba taking premium frequent flyers granted treating us like mugs miss politeness old ba business class around 5 years ago used look forward small gestures like hanging coat giving hot towel nice food served galley rather manky trolley covid reason years cost cutting result dreadful,A320,Couple Leisure,Business Class,Lisbon to London,Feb-22,no
268,268,outstanding warm smiling welcome board flight excellent flight crew friendly attentive professional detailed announcements flight deck well food wine good indeed premium economy product ba also good comfortable seats foot leg rests decent recline fr superior airline atlantic routes,A350,Solo Leisure,Premium Economy,Vancouver to London,Feb-22,yes
269,269,british airways scrapped mandatory wearing face masks onboard flights although pretend publicly policy remains ba454 london malaga 25th february across 6 visible rows around 7 24 passengers wearing face masks one long meal drinks service cleared remained like landed deplaned cabin crew frequently aisles word said non compliant passengers left aircraft staff bidding farewell guess scared remind people follow rules,A320,Business,Business Class,London to Malaga,Feb-22,no
270,270,ba got wrong 6 hours delay food voucher 4 pounds information advice staff serve waiting passengers attitude towards passenger one dispensable commodity,A322,Business,Economy Class,London to Athens,Feb-22,no
271,271,another episode unmitigated shambles comes customer service day storm eunice english half term holidays getting underway make allowances accept could delays fact compounded late cancellation raft flights domestic european destinations evening saturday 19 february operational reasons pitiful could rebook via ba’s website instead passengers compelled queue gate a17 lhr possibly rebook provided accommodation overnight ba cabin crew helpful customer services south lounge simply directed passengers ever growing queues a17 disgrace,Null,Solo Leisure,Economy Class,London to Edinburgh,Feb-22,no
272,272,check iad quick easy lounge washington ba lounge good sound pre flight food offerings overnight flight flight time boarded promptly eaten opted sleep full dinner breakfast service wanted slept well time arrival quickly made t5 arrivals lounge excellent,Boeing 787-9,Family Leisure,Business Class,Washington to London,Feb-22,yes
273,273,old planes poor food minimal leg room economy check procedure online work fellow travellers special meal request given weeks advance food allergy ignored spoke ba customer service representative soon landed heathrow said could help referred telephone line said referred online complaints form trying weeks raise concern food allergies prevent happening others reply via complaints website twitter telephone hotline also currently unavailable,Null,Couple Leisure,Economy Class,Accra to London ,Jan-22,no
274,274,booked ba return flight one hour way club class paying 700 euro 2 persons asked pay 96 euro choose seats business full business class ticket fee seat disengaged management model,A320,Business,Business Class,Dublin to London,Feb-22,no
275,275,ba got everything right allowed evening check allowed lots time staff help paperwork needed travel us day travel half term airport busy spite security lounge 5 minutes lounge clean staff proactive food served quickly good range drinks easy transfer c gates aircraft ready boarding quick well organised pre departure drinks served cabin crew excellent provided good service food new club world menu options roast beef excellent although older club world product clean well maintained time arrival baggage fast overall excellent flight feels like ba improving offering time many providers use covid excuse service cut backs well done,Boeing 787-9,Family Leisure,Business Class,London to Washington,Feb-22,yes
276,276,appalling customer service cancelled flights rebooked us confirmed change hotel reservation part inclusive booking hours hours telephone response get recorded message say cant take call dont respond emails sent complaints line,Null,Family Leisure,Business Class,London to Porto,Feb-22,no
277,277,past novemberdecember flew washingtonlondon return strength trip first two years inflight service quality appears pretty much returned prepandemic status quo ante cabin clean well maintained seats comfortable food drinks good including tasty hertfordshire roast pork return leg ba cabin crews remain best business one number bookings rebook number times due flight cancellations contrary experience many rebookings handled courteously thoroughly although number lengthy waits hold present circumstances thats expected good see everyday product held well amid dreadful time im looking forward future trips ba,Null,Solo Leisure,Business Class,Washington to London,Dec-21,yes
278,278,best experience ever airline initial flight dubai canceled royal air maroc find new flight last minute found booking extremely simple unfortunately cancel flight day departure called customer service waited 20 minutes could speak someone within 15 minutes flight canceled offered full refund person line extremely nice understanding willing help us never dealt nice employee airline got full refund credit card day usually chose cheapest flight ticket regardless airline i’ll definitely make sure check british airways first,Null,Couple Leisure,Economy Class,Montréal to Dubai via London,Feb-22,yes
279,279,ba cancelled original return flight rebooked us day later issue enjoyed extra days holiday others might flexible however overlooked rebooking connecting flight lhr fortunate still space flight checked atl aircraft newish excellent condition flight around 50 capacity service excellent staff friendly efficient dinner good breakfast disappointing little choice lhr bhd leg equally good beginning think ba getting mojo back,Boeing 787-9,Couple Leisure,Business Class,Atlanta to Belfast via Heathrow,Jan-22,yes
